"user_id","dt","inc_amt"
100878,2017-03-04,27.92
100882,2017-03-04,109.24
100884,2017-03-04,72.18
100885,2017-03-04,20.69
100887,2017-03-04,37.7
100888,2017-03-05,101.76
100890,2017-03-05,78.69
100891,2017-03-05,47.07
100892,2017-03-05,204.06
100894,2017-03-05,29.45
100087,2017-03-05,13.88
100896,2017-03-05,48.21
100900,2017-03-05,37.44
100901,2017-03-05,25.74
100902,2017-03-05,35.04
100904,2017-03-05,115.2
100905,2017-03-05,16.4
100906,2017-03-05,19.4
100907,2017-03-05,56.43
100908,2017-03-05,13.82
100910,2017-03-05,39.28
100912,2017-03-05,1019.38
100914,2017-03-05,11.4
100915,2017-03-05,66.34
100919,2017-03-05,16.57
100922,2017-03-05,83.9
100923,2017-03-05,177.64
100924,2017-03-05,78.63
100925,2017-03-05,50
100926,2017-03-05,70
100927,2017-03-05,27.85
100772,2017-03-05,101.61
100929,2017-03-05,41.5
100931,2017-03-05,13.29
100932,2017-03-05,103.7
100933,2017-03-05,26.46
100889,2017-03-05,72.95
100937,2017-03-05,21.51
100939,2017-03-05,59.29
100940,2017-03-05,55.49
100941,2017-03-05,96.51
100944,2017-03-05,114.21
100947,2017-03-05,14.09
100949,2017-03-05,76.12
100274,2017-03-05,164.16
100950,2017-03-05,33.78
100951,2017-03-05,39.51
100953,2017-03-05,210.23
100954,2017-03-05,150.75
100955,2017-03-05,95.63
100956,2017-03-05,95.18
100957,2017-03-05,19.44
100958,2017-03-05,208.8
100962,2017-03-05,39.74
100965,2017-03-05,74.19
100969,2017-03-05,112.87
100970,2017-03-05,25
100971,2017-03-05,38.31
100973,2017-03-05,24.11
100976,2017-03-05,30.15
100977,2017-03-05,293.89
100983,2017-03-05,409.09
100984,2017-03-05,10.46
100985,2017-03-05,41.33
100992,2017-03-05,96.05
100993,2017-03-05,55
100994,2017-03-05,128.32
100995,2017-03-05,82.24
101000,2017-03-05,52.24
101001,2017-03-05,104.55
101003,2017-03-05,49.68
101004,2017-03-05,25.85
100926,2017-03-05,18.86
101005,2017-03-05,67.27
101007,2017-03-06,18.75
101009,2017-03-06,22.86
101011,2017-03-06,23.86
101014,2017-03-06,246.09
101018,2017-03-06,30.84
101019,2017-03-06,409.17
101024,2017-03-06,49.74
101026,2017-03-06,14.76
101029,2017-03-06,228.51
101031,2017-03-06,125.87
101033,2017-03-06,341.63
100615,2017-03-06,44.12
101035,2017-03-06,25.21
101038,2017-03-06,30.83
101039,2017-03-06,15.41
101045,2017-03-06,190.48
101051,2017-03-06,51.39
101053,2017-03-06,264.96
101054,2017-03-06,63.15
101055,2017-03-06,82.44
101056,2017-03-06,29.86
101057,2017-03-06,39.4
101059,2017-03-06,44.65
101062,2017-03-06,74.01
101065,2017-03-06,904.21
101066,2017-03-06,44.21
101068,2017-03-06,13.12
101070,2017-03-06,19.68
101072,2017-03-06,35.56
101073,2017-03-06,18.2
101074,2017-03-06,413.79
101075,2017-03-06,283.45
101076,2017-03-06,76.57
100816,2017-03-06,36.53
101077,2017-03-06,28.82
101078,2017-03-06,434.44
101079,2017-03-06,974.19
101083,2017-03-06,24.7
101084,2017-03-06,113.66
101085,2017-03-06,18.56
101087,2017-03-06,13.97
